School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Warrenton,6.11,7.46,13.57,3,2,1
Ft. Zumwalt West,6.12,6.45,12.57,2,10,2
Blue Springs,5.19,7.0,12.19,7,3,3
Holt,5.31,6.53,11.84,6,8,4
Marquette,7.01,4.79,11.8,1,34,5
Fox,5.66,5.99,11.65,4,16,6
Francis Howell,4.55,6.13,10.68,10,15,7
Eureka,2.99,7.65,10.64,45,1,8
Kearney,5.12,5.17,10.28,8,25,9
Lee's Summit North,4.06,6.2,10.26,18,12,10
Troy Buchanan,4.55,5.66,10.21,11,20,11
Staley,3.95,6.18,10.12,20,14,12
Blue Springs South,3.52,6.58,10.1,28,6,13
Lee's Summit,3.18,6.93,10.1,36,4,14
Centralia,3.12,6.7,9.82,38,5,15
Republic,3.24,6.53,9.77,34,7,16
Blair Oaks,3.91,5.63,9.54,22,21,17
Lee's Summit West,3.04,6.37,9.41,39,11,18
Windsor (Imperial),5.36,3.8,9.16,5,57,19
St. Dominic,4.45,4.68,9.12,12,37,20
Washington,3.23,5.89,9.12,35,17,21
Rockwood Summit,3.53,5.49,9.02,26,23,22
Bowling Green,3.78,5.11,8.9,23,27,23
Liberty North,3.03,5.87,8.89,41,18,24
Park Hill South,3.02,5.86,8.88,42,19,25
Parkway South,2.36,6.45,8.81,65,9,26
Notre Dame (Cape Girardeau),4.3,4.45,8.75,13,43,27
Central (Park Hills),3.71,4.98,8.69,25,29,28
Oakville,3.53,5.1,8.63,27,28,29
Jefferson City,4.09,4.52,8.61,16,41,30
Seckman,4.76,3.69,8.46,9,60,31
DeSoto,2.92,5.52,8.44,47,22,32
Francis Howell North,4.21,4.13,8.35,14,49,33
Northwest (Cedar Hill),3.72,4.55,8.27,24,40,34
Fatima,3.0,4.93,7.93,44,31,35
Ozark,3.01,4.85,7.86,43,32,36
Lathrop,3.26,4.49,7.75,33,42,37
Joplin,2.52,4.96,7.48,59,30,38
Ft. Zumwalt North,4.17,3.2,7.37,15,65,39
Norborne,3.4,3.95,7.35,29,54,40
Boonville,3.99,3.22,7.21,19,64,41
Camdenton,2.41,4.68,7.09,63,36,42
Farmington,3.03,4.0,7.03,40,52,43
Helias Catholic,4.09,2.8,6.89,17,84,44
Belton,2.67,4.12,6.79,56,50,45
Liberty,2.73,4.03,6.76,53,51,46
Cor Jesu Academy,2.07,4.62,6.69,73,39,47
Hillsboro,2.22,4.44,6.66,68,45,48
Portageville,0.48,6.18,6.65,133,13,49
Trenton,2.12,4.44,6.57,71,44,50
Poplar Bluff,2.03,4.22,6.25,75,47,51
Highland,1.45,4.69,6.13,94,35,52
Jackson,0.68,5.24,5.92,125,24,53
Platte County,1.99,3.87,5.86,80,55,54
Canton,2.86,2.99,5.85,49,71,55
