School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Centralia,3.12,6.7,9.82,4,1,1
Blair Oaks,3.91,5.63,9.54,1,3,2
Bowling Green,3.78,5.11,8.9,2,4,3
Fatima,3.0,4.93,7.93,5,5,4
Lathrop,3.26,4.49,7.75,3,9,5
Portageville,0.48,6.18,6.65,23,2,6
Trenton,2.12,4.44,6.57,6,10,7
Highland,1.45,4.69,6.13,10,7,8
Iberia,1.39,4.15,5.54,11,11,9
North Platte,0.32,4.84,5.17,27,6,10
North Callaway,1.56,3.01,4.57,9,16,11
South Shelby,1.33,3.13,4.46,14,15,12
Eugene,1.19,3.27,4.45,16,13,13
Kelly,0.46,3.77,4.23,24,12,14
John F. Kennedy,-0.51,4.65,4.14,40,8,15
Linn,1.38,2.63,4.01,12,20,16
Monroe City,0.37,3.14,3.52,26,14,17
Gallatin,0.46,2.98,3.44,25,17,18
New Bloomfield,1.11,2.0,3.11,17,23,19
Vienna,1.24,1.78,3.02,15,25,20
Clark County,0.1,2.87,2.97,29,19,21
Holden,1.79,0.71,2.51,8,37,22
Hallsville,1.33,1.16,2.49,13,29,23
Penney,0.07,2.18,2.25,30,22,24
Dixon,1.05,1.07,2.12,18,32,25
Lexington,0.07,1.96,2.02,31,24,26
Jefferson (Festus),-1.15,2.94,1.78,47,18,27
Pleasant Hope,0.78,0.8,1.57,19,34,28
Plattsburg,-0.06,1.62,1.56,34,28,29
Marceline,0.7,0.74,1.44,21,36,30
Lutheran St. Charles,-0.39,1.76,1.37,37,26,31
Lawson,0.19,1.14,1.33,28,30,32
Palmyra,-0.44,1.68,1.24,38,27,33
Montgomery County,-1.23,2.44,1.21,49,21,34
Neelyville,0.53,0.45,0.98,22,43,35
Marion C. Early,-0.02,0.67,0.65,33,38,36
Knob Noster,-0.22,0.66,0.45,36,39,37
Wright City,0.73,-0.38,0.34,20,45,38
Father Tolton,1.86,-2.09,-0.22,7,53,39
Louisiana,-0.93,0.61,-0.32,45,40,40
Willow Springs,-0.9,0.49,-0.42,43,42,41
Milan,-1.54,1.11,-0.43,53,31,42
Brookfield,-1.89,1.04,-0.85,57,33,43
Mid-Buchanan,-0.2,-0.71,-0.92,35,47,44
Cuba,-1.83,0.79,-1.03,56,35,45
Gainesville,-0.44,-0.64,-1.09,39,46,46
El Dorado Springs,-1.7,0.53,-1.17,54,41,47
St. Pius X (Festus),-0.76,-1.18,-1.94,41,49,48
East Buchanan,-0.01,-2.26,-2.28,32,55,49
East Carter,-2.22,-0.08,-2.31,60,44,50
Putnam County,-0.92,-1.56,-2.48,44,51,51
Belle,-1.73,-1.32,-3.05,55,50,52
Mark Twain,-1.5,-1.59,-3.09,52,52,53
Trinity Catholic,-1.14,-2.27,-3.41,46,56,54
Valley Park,-1.39,-2.18,-3.56,51,54,55
Bishop LeBlond,-3.83,-0.77,-4.59,72,48,56
Richland,-1.2,-3.84,-5.04,48,63,57
Lamar,-2.51,-3.27,-5.78,63,60,58
Ava,-3.2,-2.86,-6.06,68,57,59
Carrollton,-1.29,-4.92,-6.21,50,67,60
Lafayette County,-2.26,-4.05,-6.31,62,64,61
Hermann,-2.92,-3.67,-6.6,67,62,62
Elsberry,-3.56,-3.19,-6.75,71,58,63
Houston,-0.8,-6.0,-6.8,42,73,64
Summit Christian Academy,-2.24,-4.85,-7.1,61,66,65
Hartville,-3.94,-3.52,-7.46,73,61,66
Alton,-4.41,-3.21,-7.62,76,59,67
Liberty (Mountain View),-2.68,-5.51,-8.19,65,70,68
Russellville,-2.92,-5.29,-8.21,66,68,69
Westran,-2.58,-5.71,-8.29,64,72,70
Principia,-2.22,-6.23,-8.45,59,75,71
Warsaw,-3.29,-5.32,-8.62,69,69,72
Laquey,-4.57,-4.69,-9.26,77,65,73
California,-3.98,-6.23,-10.21,74,74,74
Herculaneum,-5.37,-5.6,-10.96,78,71,75
Versailles,-4.11,-7.29,-11.4,75,78,76
West Platte,-3.35,-8.31,-11.66,70,80,77
East Prairie,-5.47,-7.03,-12.51,79,77,78
Puxico,-6.26,-6.85,-13.11,82,76,79
Mansfield,-5.52,-8.08,-13.6,80,79,80
Metro,-2.05,-13.95,-16.0,58,83,81
Bourbon,-7.04,-10.43,-17.47,83,81,82
Hancock,-6.21,-13.04,-19.26,81,82,83
Lutheran North,-7.75,-16.02,-23.77,84,85,84
Brentwood,-12.28,-15.66,-27.93,85,84,85
Cleveland NJROTC,-12.84,-22.77,-35.61,86,87,86
Carnahan,-18.34,-17.88,-36.22,87,86,87
