Date,Home Team,Home Score,Away Team,Away Score
2015-08-21,Fatima,5,Battle,6
2015-08-21,Notre Dame (St. Louis),4,Bishop DuBourg,8
2015-08-21,Windsor (Imperial),6,Bowling Green,7
2015-08-21,Hickman,6,Bowling Green,5
2015-08-21,Richland,0,Camdenton,10
2015-08-21,Raytown,1,Central (St. Joseph),13
2015-08-21,Metro,21,Cleveland NJROTC,2
2015-08-21,Northwest (Cedar Hill),5,Cor Jesu Academy,2
2015-08-21,Alton,2,Dora,9
2015-08-21,Lutheran South,1,Festus,6
2015-08-21,Hillsboro,4,Francis Howell Central,1
2015-08-21,Hillsboro,7,Ft. Zumwalt North,4
2015-08-21,Palmyra,8,Ft. Zumwalt North,9
2015-08-21,Warrenton,12,Ft. Zumwalt South,2
2015-08-21,Dadeville,3,Hartville,2
2015-08-21,Winfield,4,Hickman,6
2015-08-21,Timberland,5,Highland,4
2015-08-21,Willard,11,Hillcrest,0
2015-08-21,Westran,16,Houston,26
2015-08-21,Vienna,4,Iberia,14
2015-08-21,McCluer South-Berkeley,23,Jennings,0
2015-08-21,St. Pius X (Festus),0,John F. Kennedy,2
2015-08-21,Nevada,1,Joplin,6
2015-08-21,Seneca,0,Joplin,10
2015-08-21,Nixa,7,Kickapoo,1
2015-08-21,St. Joseph's Academy,3,Lafayette (Wildwood),6
2015-08-21,Troy Buchanan,17,Lafayette (Wildwood),4
2015-08-21,Macks Creek,2,Laquey,3
2015-08-21,Parkway West,0,Lindbergh,3
2015-08-21,Rockwood Summit,9,Marquette,10
2015-08-21,Seneca,11,Nevada,12
2015-08-21,La Plata,2,Northeast (Cairo),12
2015-08-21,North Harrison,6,Northeast Nodaway,2
2015-08-21,St. James,9,Rolla,3
2015-08-21,Norwood,10,Smithville,0
2015-08-21,Pattonville,14,St. Charles,0
2015-08-21,Ursuline Academy,3,St. Teresa's Academy,7
2015-08-21,Warrenton,3,Timberland,4
2015-08-21,Trinity Catholic,5,Valley Park,4
2015-08-21,Troy Buchanan,11,Waynesville,5
2015-08-21,Parkway Central,3,Webster Groves,13
2015-08-21,New Bloomfield,10,Wellsville-Middletown,0
2015-08-21,Leeton,8,Wheatland,3
2015-08-22,Cassville,1,Ava,0
2015-08-22,Riverview Gardens,23,Bayless,2
2015-08-22,Park Hill,1,Belton,4
2015-08-22,Oak Grove,0,Belton,1
2015-08-22,Higbee,6,Bevier,2
2015-08-22,St. Pius X (Festus),11,Bishop DuBourg,10
2015-08-22,John F. Kennedy,9,Bishop DuBourg,0
2015-08-22,Raytown,0,Blue Springs South,8
2015-08-22,Eugene,4,Boonville,5
2015-08-22,Savannah,1,Boonville,16
2015-08-22,Moberly,5,Boonville,15
2015-08-22,Pleasant Hope,2,Branson,7
2015-08-22,Logan-Rogersville,11,Buffalo,0
2015-08-22,Osage,4,Camdenton,7
2015-08-22,Nevada,2,Carl Junction,5
2015-08-22,Marshall,6,Carrollton,8
2015-08-22,Fayette,3,Carrollton,8
2015-08-22,O'Hara,6,Carrollton,23
2015-08-22,St. Joseph's Academy,0,Central (Park Hills),3
2015-08-22,Washington,0,Central (Park Hills),2
2015-08-22,Blue Springs South,7,Central (St. Joseph),6
2015-08-22,Raytown,1,Central (St. Joseph),8
